,UNITID,INSTNM,CITY,STABBR,ZIP,ADM_RATE,UGDS,TUITIONFEE_IN,MN_EARN_WNE_P10
634,130837,Margaret H Rollins School of Nursing at Beebe Medical Center,Lewes,DE,19958,,59.0,,
635,130873,Dawn Career Institute LLC,Newark,DE,19702,,108.0,,
636,130907,Delaware Technical Community College-Terry,Dover,DE,19901,,12408.0,4848.0,
637,130934,Delaware State University,Dover,DE,19901,0.4518,3678.0,7868.0,
638,130943,University of Delaware,Newark,DE,19716,0.6289,18948.0,13160.0,
639,130989,Goldey-Beacom College,Wilmington,DE,19808,0.5177,770.0,23850.0,
640,131061,Schilling-Douglas School of Hair Design LLC,Newark,DE,19711,,133.0,,
641,131098,Wesley College,Dover,DE,19901-3875,0.6151,1342.0,26406.0,
642,131113,Wilmington University,New Castle,DE,19720,,8346.0,10940.0,
643,131159,American University,Washington,DC,20016-8001,0.294,7433.0,46615.0,
644,131283,The Catholic University of America,Washington,DC,20064,0.8258,3284.0,44060.0,
645,131399,University of the District of Columbia,Washington,DC,20008,,3606.0,5756.0,
646,131405,Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,Washington,DC,20017-1585,,,,
647,131450,Gallaudet University,Washington,DC,20002-3695,0.5901,1111.0,16558.0,
648,131469,George Washington University,Washington,DC,20052,0.4098,11718.0,53518.0,
649,131496,Georgetown University,Washington,DC,20057-0001,0.1568,7128.0,52300.0,
650,131520,Howard University,Washington,DC,20059-0001,0.4142,6276.0,25697.0,
651,131803,Strayer University-District of Columbia,Washington,DC,20005,,687.0,13857.0,
652,131830,National Conservatory of Dramatic Arts,Washington,DC,20007,1.0,32.0,9900.0,
653,131876,Trinity Washington University,Washington,DC,20017-1094,0.9228,1498.0,23690.0,
654,131973,Wesley Theological Seminary,Washington,DC,20016-5690,,,,
1446,161651,Aesthetics Institute of Cosmetology,Gaithersburg,MD,20877,,25.0,,
1447,161688,Allegany College of Maryland,Cumberland,MD,21502-2596,,1990.0,3940.0,
1448,161767,Anne Arundel Community College,Arnold,MD,21012-1895,,11294.0,4646.0,
1449,161776,Brightwood College-Towson,Towson,MD,21286-2201,,309.0,,
1450,161800,Award Beauty School,Hagerstown,MD,21740-5610,,157.0,,
1451,161855,Baltimore Studio of Hair Design,Baltimore,MD,21201-3444,,46.0,,
1452,161864,Baltimore City Community College,Baltimore,MD,21215-7893,,3797.0,3074.0,
1453,161873,University of Baltimore,Baltimore,MD,21201-5720,0.8099,2856.0,8824.0,
1454,162007,Bowie State University,Bowie,MD,20715-9465,0.36,5107.0,8064.0,
1455,162061,Capitol Technology University,Laurel,MD,20708,0.7473,421.0,24788.0,
1456,162104,Cecil College,North East,MD,21901-1900,,2112.0,4005.0,
1457,162122,College of Southern Maryland,La Plata,MD,20646-0910,,6699.0,3690.0,
1458,162168,Chesapeake College,Wye Mills,MD,21679-0008,,1744.0,3818.0,
1459,162210,Washington Adventist University,Takoma Park,MD,20912,0.6139,750.0,23400.0,
1460,162283,Coppin State University,Baltimore,MD,21216-3698,0.3651,2459.0,7474.0,
1461,162335,Delmarva Beauty Academy,Salisbury,MD,21804-6952,,51.0,,
1462,162371,North American Trade Schools,Baltimore,MD,21244,,448.0,,
1463,162557,Frederick Community College,Frederick,MD,21702-2964,,4830.0,3520.0,
1464,162584,Frostburg State University,Frostburg,MD,21532-1099,0.7229,4486.0,8914.0,
1465,162609,Garrett College,McHenry,MD,21541,,532.0,3948.0,
1466,162654,Goucher College,Baltimore,MD,21204-2794,0.7884,1526.0,43440.0,
1467,162681,Purdue University Global-Hagerstown,Hagerstown,MD,21742,,470.0,14263.0,
1468,162690,Hagerstown Community College,Hagerstown,MD,21742-6514,,3181.0,3616.0,
1469,162706,Harford Community College,Bel Air,MD,21015-1698,,5018.0,3643.0,
1470,162760,Hood College,Frederick,MD,21701,0.8113,1108.0,37960.0,
1471,162779,Howard Community College,Columbia,MD,21044-3197,,8943.0,3888.0,
1472,162830,Aveda Institute-Maryland,Bel Air,MD,21014-3639,,37.0,,
1473,162928,Johns Hopkins University,Baltimore,MD,21218-2688,0.1254,5663.0,52170.0,
1474,163028,Lincoln College of Technology-Columbia,Columbia,MD,21046,,569.0,,
1475,163046,Loyola University Maryland,Baltimore,MD,21210-2699,0.7528,3903.0,47560.0,
1476,163204,University of Maryland Global Campus,Adelphi,MD,20783-8010,,42289.0,7296.0,
1477,163259,University of Maryland Baltimore,Baltimore,MD,21201-1627,,918.0,,
1478,163268,University of Maryland-Baltimore County,Baltimore,MD,21250,0.6021,11130.0,11518.0,
1479,163286,University of Maryland-College Park,College Park,MD,20742,0.445,29273.0,10399.0,
1480,163295,Maryland Institute College of Art,Baltimore,MD,21217-4134,0.6161,1743.0,46990.0,
1481,163338,University of Maryland Eastern Shore,Princess Anne,MD,21853-1299,0.3901,2799.0,8042.0,
1482,163347,Fortis Institute-Towson,Towson,MD,21204-9840,,412.0,,
1483,163408,Montgomery Beauty School,Silver Spring,MD,20901,,120.0,,
1484,163426,Montgomery College,Rockville,MD,20850,,18915.0,4974.0,
1485,163453,Morgan State University,Baltimore,MD,21251-0001,0.6372,6426.0,7766.0,
1486,163462,Mount St. Mary's University,Emmitsburg,MD,21727-7799,0.6423,1785.0,40550.0,
1487,163532,Ner Israel Rabbinical College,Baltimore,MD,21208,0.6418,265.0,11900.0,
1488,163541,Hair Academy Inc-New Carrollton,New Carrollton,MD,20784,,447.0,,
1489,163578,Notre Dame of Maryland University,Baltimore,MD,21210-2476,0.7140000000000001,808.0,36070.0,
1490,163657,Prince George's Community College,Largo,MD,20774-2199,,10743.0,3770.0,
1491,163736,Brightwood College-Baltimore,Baltimore,MD,21227-1063,,452.0,,
1492,163754,Robert Paul Academy of Cosmetology Arts & Sciences,Timonium,MD,21093,,26.0,,
1493,163815,Maryland Beauty Academy of Essex,Baltimore,MD,21224,,80.0,,
1494,163851,Salisbury University,Salisbury,MD,21801-6862,0.6502,7552.0,9582.0,
1495,163912,St. Mary's College of Maryland,St. Mary's City,MD,20686,0.8242,1519.0,14496.0,
1496,163976,St. John's College,Annapolis,MD,21401,0.5445,458.0,51795.0,
1497,164058,Brightwood College-Beltsville,Beltsville,MD,20705,,529.0,,
1498,164076,Towson University,Towson,MD,21252-0001,0.773,19367.0,9694.0,
1499,164085,Maryland University of Integrative Health,Laurel,MD,20723,,,,
1500,164155,United States Naval Academy,Annapolis,MD,21402-5000,0.0844,4495.0,,
1501,164173,Stevenson University,Stevenson,MD,21153-0641,0.6087,3375.0,35490.0,
1502,164216,Washington College,Chestertown,MD,21620-1438,0.5871,1449.0,44820.0,
1503,164270,McDaniel College,Westminster,MD,21157,0.85,1559.0,41800.0,
1504,164313,Wor-Wic Community College,Salisbury,MD,21804-7131,,2652.0,3000.0,
3004,212452,Faith Theological Seminary,Baltimore,MD,21212-2624,1.0,66.0,5870.0,
3627,231280,Paul Mitchell the School-Roanoke,Roanoke,VA,24015,,84.0,,
3628,231411,Advanced Technology Institute,Virginia Beach,VA,23462,0.7954,464.0,13250.0,
3629,231420,Averett University,Danville,VA,24541,0.6102,908.0,33350.0,
3630,231536,Blue Ridge Community College,Weyers Cave,VA,24486-0080,,3054.0,5252.0,
3631,231554,Bluefield College,Bluefield,VA,24605,0.9112,874.0,24800.0,
3632,231581,Bridgewater College,Bridgewater,VA,22812-1599,0.5198,1874.0,33820.0,
3633,231624,William & Mary,Williamsburg,VA,23187-8795,0.3592,6243.0,22044.0,
3634,231651,Regent University,Virginia Beach,VA,23464,0.7829999999999999,4087.0,17288.0,
3635,231688,Central School of Practical Nursing,Norfolk,VA,23502,,18.0,,
3636,231697,Central Virginia Community College,Lynchburg,VA,24502-2498,,2494.0,4726.0,
3637,231712,Christopher Newport University,Newport News,VA,23606-3072,0.7239,4950.0,13654.0,
3638,231721,Suffolk Beauty Academy,Suffolk,VA,23434-3020,,38.0,,
3639,231785,Bryant & Stratton College-Virginia Beach,Virginia Beach,VA,23462,,475.0,17624.0,
